id,time,place,magnitude,longitude,latitude
hv74466297,1726539778500,"8 km SE of Volcano, Hawaii",2.80999994,-155.179992675781,19.3848323822021
hv74466292,1726539653690,"9 km SE of Volcano, Hawaii",1.75,-155.181671142578,19.3743324279785
hv74466277,1726539269910,"8 km SE of Volcano, Hawaii",2.0,-155.186828613281,19.3770008087158
hv74466272,1726539268550,"9 km SE of Volcano, Hawaii",1.99,-155.173828125,19.3751659393311
hv74466247,1726538543710,"9 km S of Fern Forest, Hawaii",1.72000003,-155.151840209961,19.3801670074463
pr71460338,1726537617150,"7 km W of La Parguera, Puerto Rico",2.62,-67.115,17.9731666666667
hv74466202,1726537058430,"16 km S of Volcano, Hawaii",2.36,-155.210327148438,19.299165725708
hv74466197,1726537036200,"18 km S of Volcano, Hawaii",2.35,-155.203506469727,19.2756671905518
nc75062886,1726536828600,"3 km ENE of The Geysers, CA",0.69,-122.725997924805,38.791332244873
us7000nedh,1726536677397,south of the Fiji Islands,5.1,-179.6707,-25.6893
ak024bzo1cqr,1726536598111,"1 km S of Beluga, Alaska",1.4,-151.0828,61.1294
hv74466177,1726536286540,"10 km SSW of Fern Forest, Hawaii",2.19,-155.161,19.3718333333333
hv74466167,1726536124890,"10 km E of Pāhala, Hawaii",2.31999993,-155.380828857422,19.1875
nc75062876,1726535564970,"7 km WNW of Cobb, CA",0.71,-122.801002502441,38.8328323364258
hv74466107,1726534315150,"10 km SE of Volcano, Hawaii",1.97,-155.165161132812,19.3735008239746
tx2024shcj,1726534181974,"34 km WSW of Ackerly, Texas",5.1,-102.059,32.411
nc75062861,1726533538890,"6 km WNW of Cobb, CA",1.33,-122.796333312988,38.829833984375
nc75062851,1726533180840,"10 km NW of The Geysers, CA",0.27,-122.851501464844,38.8253326416016
hv74466057,1726532961590,"13 km ENE of Pāhala, Hawaii",2.3599999,-155.360000610352,19.2565002441406
hv74466052,1726532943780,"9 km SE of Volcano, Hawaii",2.01,-155.183166503906,19.3724994659424
us7000necu,1726532885448,"138 km SSE of Kokopo, Papua New Guinea",4.9,152.8348,-5.4609
ak024bznescq,1726532669049,"24 km S of Yakutat, Alaska",2.3,-139.7897,59.3253
hv74466012,1726532060900,"12 km S of Fern Forest, Hawaii",1.92999995,-155.140502929688,19.3484992980957
pr71460323,1726531551410,"4 km E of Maria Antonia, Puerto Rico",2.33,-66.8511666666667,17.9723333333333
